uscd,timestamp,temp,humidity,gas,water,volt
1,2021-05-20 13:44,28,58,0,38188.5,-39.5
1,2021-05-20 13:44,28,58,0,38188.5,-39.5
1,2021-05-20 13:45,28,58,0,88008,-39.5
1,2021-05-20 13:46,28,59,0,86948.4,-39.5
1,2021-05-20 13:47,28,58,0,87761.5,-39.5
1,2021-05-20 13:48,28,57,0,88723.8,-39.6
1,2021-05-20 13:49,28,57,0,87257.9,-39.6
1,2021-05-20 13:50,28,57,0,87351.4,-39.6
1,2021-05-20 13:51,28,57,0,88831.6,-39.6
1,2021-05-20 13:52,28,58,0,88151.4,-39.6
1,2021-05-20 13:53,28,58,0,87877.3,-39.6
1,2021-05-20 13:54,28,57,1,87676.4,-39.6
1,2021-05-20 13:55,28,57,1,88333.9,-39.6
1,2021-05-20 13:56,28,58,1,89901.2,-39.6
1,2021-05-20 13:57,28,57,1,87863.8,-39.6
1,2021-05-20 13:58,28,57,1,89301.7,-39.6
1,2021-05-20 13:59,28,57,1,86719.7,-39.6
1,2021-05-20 14:00,28,57,1,86651.8,-39.6
1,2021-05-20 14:01,28,57,1,87300.9,-39.6
1,2021-05-20 14:02,28,57,1,86159,-39.6
1,2021-05-20 14:03,28,57,1,87503.4,-39.6
1,2021-05-20 14:04,28,58,1,89119.6,-39.6
1,2021-05-20 14:05,28,58,1,90093.5,-39.6
1,2021-05-20 14:06,28,58,1,87367,-39.6
1,2021-05-20 14:07,28,57,1,88030.6,-39.6
1,2021-05-20 14:08,28,58,1,88163.3,-39.6
1,2021-05-20 14:09,28,58,1,88206,-39.6
1,2021-05-20 14:10,28,58,1,88480.1,-39.6
1,2021-05-20 14:11,28,58,1,89010.1,-39.6
1,2021-05-20 14:12,28,58,0,90324.7,-39.6
1,2021-05-20 14:13,28,59,0,88292.1,-39.6
1,2021-05-20 14:14,28,58,0,87968.1,-39.6
1,2021-05-20 14:15,28,59,0,88612,-39.6
1,2021-05-20 14:16,28,59,0,86493.7,-39.6
1,2021-05-20 14:17,28,59,0,87688.3,-39.6
1,2021-05-20 14:18,27,58,0,87784.1,-39.6
1,2021-05-20 14:19,27,58,0,89252.7,-39.6
1,2021-05-20 14:20,27,58,0,87882.7,-39.6
1,2021-05-20 14:21,27,58,0,88872.2,-39.6
1,2021-05-20 14:22,27,58,0,85334.1,-39.6
1,2021-05-20 14:23,27,58,0,87162.7,-39.6
1,2021-05-20 14:24,27,58,0,84993.2,-39.6
1,2021-05-20 14:25,27,58,0,90199.7,-39.6
1,2021-05-20 14:26,27,58,0,89141,-39.6
1,2021-05-20 14:27,27,58,1,88296.2,-39.6
1,2021-05-20 14:28,27,58,1,86898.5,-39.6
1,2021-05-20 14:29,27,58,1,87267.3,-39.6
1,2021-05-20 14:30,27,59,1,87024.6,-39.6
1,2021-05-20 14:31,27,59,1,90105.4,-39.6
1,2021-05-20 14:32,27,59,1,87545.4,-39.6
1,2021-05-20 14:33,27,59,1,88783.8,-39.6
1,2021-05-20 14:34,27,59,1,87784.3,-39.6
1,2021-05-20 14:35,27,59,1,89325.9,-39.6
1,2021-05-20 14:36,27,59,1,87814.2,-39.6
1,2021-05-20 14:37,27,59,1,89644,-39.6
1,2021-05-20 14:38,27,59,1,86703.8,-39.6
1,2021-05-20 14:39,27,59,1,89299.4,-39.6
1,2021-05-20 14:40,27,59,1,86841.5,-39.6
1,2021-05-20 14:41,27,59,1,86325.3,-39.6
1,2021-05-20 14:42,27,59,1,89178.7,-39.6
1,2021-05-20 14:43,27,59,1,87547.8,-39.6
1,2021-05-20 14:44,27,59,1,87388.7,-39.6
1,2021-05-20 14:45,27,59,1,86571.2,-39.6
1,2021-05-20 14:46,27,59,1,87308.4,-39.6
1,2021-05-20 14:47,27,59,1,87230.4,-39.6
1,2021-05-20 14:48,27,59,1,87584,-39.6
1,2021-05-20 14:49,27,59,1,89349.8,-39.6
1,2021-05-20 14:50,27,59,1,88259.8,-39.6
1,2021-05-20 14:51,27,59,1,87215.5,-39.6
1,2021-05-20 14:52,27,60,1,87794.2,-39.6
1,2021-05-20 14:53,27,60,1,87660.8,-39.6
1,2021-05-20 14:54,27,60,1,87712,-39.6
1,2021-05-20 14:55,27,60,1,89317.3,-39.6
1,2021-05-20 14:56,27,60,0,88191.9,-39.6
1,2021-05-20 14:57,27,60,0,88360.8,-39.6
1,2021-05-20 14:58,27,60,0,86326.4,-39.6
1,2021-05-20 14:59,27,60,0,89910.3,-39.6
1,2021-05-20 15:00,27,60,0,89551.1,-39.6
1,2021-05-20 15:01,27,60,0,87918.5,-39.6
1,2021-05-20 15:02,27,60,0,87560.7,-39.6
1,2021-05-20 15:03,27,60,0,87640,-39.6
1,2021-05-20 15:04,27,60,0,87696.3,-39.6
1,2021-05-20 15:05,27,60,0,87125.8,-39.6
1,2021-05-20 15:06,27,60,0,89184.4,-39.6
1,2021-05-20 15:07,27,60,0,87054.9,-39.6
1,2021-05-20 15:08,27,60,0,87660.8,-39.6
